               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.018134,            0.016758,                   0,             0.88721,             0.86034,             0.92494,             0.66594,            0.025974,           0.0089175,                   0,           0.0093895,           0.0093895,           0.0093895
                  39,            0.018836,            0.016523,                   0,             0.88435,             0.89611,              0.9213,             0.65134,            0.025063,           0.0085338,                   0,            0.009373,            0.009373,            0.009373
                  40,            0.018649,            0.017593,                   0,             0.92295,             0.84229,              0.9022,             0.66778,            0.024844,           0.0096223,                   0,           0.0093565,           0.0093565,           0.0093565
                  41,            0.019429,            0.015388,                   0,             0.82473,             0.84551,             0.91126,             0.59853,            0.027872,            0.010448,                   0,             0.00934,             0.00934,             0.00934
                  42,            0.018101,            0.016277,                   0,              0.8907,             0.85156,             0.91153,              0.6306,            0.028914,            0.010178,                   0,           0.0093235,           0.0093235,           0.0093235
                  43,            0.018016,            0.016382,                   0,             0.92384,             0.90625,             0.93075,             0.68446,            0.024069,           0.0091198,                   0,            0.009307,            0.009307,            0.009307
                  44,            0.018461,            0.015588,                   0,             0.89318,             0.85938,             0.91057,             0.59824,            0.025654,           0.0098942,                   0,           0.0092905,           0.0092905,           0.0092905
                  45,            0.017454,            0.015128,                   0,              0.8906,             0.84375,             0.90399,             0.64172,            0.025866,            0.010753,                   0,            0.009274,            0.009274,            0.009274
                  46,             0.01771,            0.015834,                   0,             0.89019,             0.82337,             0.89804,             0.58753,            0.026933,            0.010283,                   0,           0.0092575,           0.0092575,           0.0092575
                  47,            0.017873,            0.015499,                   0,             0.89497,              0.9375,             0.93123,             0.66826,            0.024167,           0.0085941,                   0,            0.009241,            0.009241,            0.009241
                  48,            0.018667,            0.015742,                   0,             0.92022,             0.81104,             0.90674,              0.6613,            0.025854,           0.0091855,                   0,           0.0092245,           0.0092245,           0.0092245
                  49,             0.01837,            0.015996,                   0,             0.86396,             0.91406,             0.93613,             0.66464,            0.026259,           0.0090726,                   0,            0.009208,            0.009208,            0.009208
                  50,            0.018155,            0.015476,                   0,             0.86732,             0.86816,             0.90661,             0.62785,            0.024756,           0.0093965,                   0,           0.0091915,           0.0091915,           0.0091915
                  51,            0.018122,            0.016117,                   0,             0.94155,             0.88093,             0.93357,             0.67739,            0.026057,           0.0089154,                   0,            0.009175,            0.009175,            0.009175
                  52,            0.018229,            0.015969,                   0,             0.94328,             0.77957,             0.90225,             0.61541,             0.02738,            0.010837,                   0,           0.0091585,           0.0091585,           0.0091585
                  53,            0.017377,            0.015921,                   0,             0.81539,             0.80469,             0.85569,             0.55206,            0.028324,             0.01175,                   0,            0.009142,            0.009142,            0.009142
                  54,            0.017427,            0.014967,                   0,             0.91765,             0.87055,             0.91918,               0.625,            0.027284,           0.0097092,                   0,           0.0091255,           0.0091255,           0.0091255
                  55,            0.017974,             0.01564,                   0,             0.93144,             0.88281,              0.9431,             0.67198,            0.025244,           0.0092004,                   0,            0.009109,            0.009109,            0.009109
                  56,            0.017309,            0.015022,                   0,             0.82923,              0.8346,              0.8817,             0.59859,            0.028956,            0.010293,                   0,           0.0090925,           0.0090925,           0.0090925
                  57,            0.017279,            0.016007,                   0,             0.90613,             0.90503,             0.93782,             0.60456,            0.027427,           0.0097777,                   0,            0.009076,            0.009076,            0.009076
                  58,            0.016961,            0.015184,                   0,             0.85087,             0.85938,             0.90361,             0.58613,            0.026849,           0.0096475,                   0,           0.0090595,           0.0090595,           0.0090595
                  59,             0.01647,            0.015761,                   0,             0.75286,              0.7854,             0.81742,             0.55387,            0.026808,            0.011813,                   0,            0.009043,            0.009043,            0.009043
                  60,            0.018284,            0.016319,                   0,             0.77627,              0.8403,             0.85546,             0.55668,            0.027644,            0.011295,                   0,           0.0090265,           0.0090265,           0.0090265
