               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.035984,            0.034172,                   0,             0.78801,             0.78413,             0.82126,             0.36315,             0.03512,            0.011923,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.035779,            0.038811,                   0,             0.84435,             0.76562,             0.82035,             0.45147,            0.031528,             0.01347,                   0,            0.008713,            0.008713,            0.008713
                  41,             0.03597,            0.035988,                   0,             0.86153,             0.86719,             0.88863,             0.50788,              0.0281,            0.012767,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.033454,            0.033985,                   0,             0.86623,             0.80943,              0.8757,             0.40725,            0.035189,            0.012795,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.034325,            0.035365,                   0,             0.84234,             0.84375,             0.87325,             0.49535,            0.029666,            0.012483,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.035206,            0.035974,                   0,             0.88461,             0.77865,             0.87014,             0.38182,            0.034429,            0.011934,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.034285,            0.034522,                   0,             0.89149,             0.77344,             0.84611,             0.40607,            0.031925,            0.012566,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.032191,            0.033227,                   0,             0.88467,              0.7791,             0.84268,             0.38671,            0.033946,            0.012141,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.033934,            0.034151,                   0,             0.83902,             0.82812,             0.90052,             0.49833,            0.029369,            0.011948,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.031737,            0.034181,                   0,             0.91108,             0.80046,             0.87922,             0.38454,            0.037801,            0.012084,                   0,            0.008449,            0.008449,            0.008449
                  49,             0.03289,            0.035545,                   0,             0.68526,             0.56133,             0.57129,             0.23984,            0.042109,            0.014801,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.034584,             0.03323,                   0,             0.85556,             0.82812,             0.89541,             0.46741,             0.03044,            0.011507,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.033247,            0.034584,                   0,             0.92069,             0.81624,             0.90116,             0.50657,            0.027787,            0.011863,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.031503,            0.032784,                   0,              0.8932,             0.78125,              0.8882,             0.47949,            0.028785,            0.012167,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.031638,            0.033949,                   0,             0.75436,             0.77344,              0.7956,             0.43681,            0.030387,            0.012755,                   0,            0.008284,            0.008284,            0.008284
                  54,             0.03156,            0.033138,                   0,             0.81718,             0.78906,              0.8234,             0.39828,            0.033742,            0.012649,                   0,            0.008251,            0.008251,            0.008251
                  55,             0.03092,            0.032439,                   0,              0.7266,             0.80978,             0.81934,             0.36338,             0.03569,            0.014306,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.031159,            0.032404,                   0,             0.86696,             0.86548,              0.9125,             0.52487,              0.0302,            0.011899,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.031283,            0.030675,                   0,             0.66665,             0.60934,             0.63092,             0.28623,            0.037477,            0.016573,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.030028,            0.032977,                   0,              0.5529,             0.52344,             0.52105,             0.22688,            0.040592,            0.016323,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.032135,            0.032089,                   0,             0.86958,             0.82812,             0.92452,             0.53937,            0.027623,            0.011397,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.029901,            0.030425,                   0,             0.74411,             0.77344,             0.81351,              0.4171,            0.031073,            0.013209,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.031686,            0.033165,                   0,             0.91739,             0.78082,             0.90406,             0.56878,            0.025897,            0.011181,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.031074,            0.030905,                   0,             0.93762,               0.875,             0.94804,             0.52075,            0.028745,            0.010436,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.030304,            0.029194,                   0,             0.93154,             0.83594,              0.8998,             0.44577,             0.03216,            0.012121,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.030678,            0.031141,                   0,             0.82492,             0.69939,             0.75421,             0.33649,            0.037338,            0.013738,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.030597,            0.031712,                   0,             0.85206,              0.8125,              0.8661,              0.4654,            0.028401,            0.011522,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.029922,            0.032544,                   0,             0.84301,             0.85156,             0.90109,             0.52814,             0.02643,            0.011528,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.029521,            0.030222,                   0,             0.62915,                 0.5,             0.55842,             0.27089,            0.035848,            0.015578,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.031041,            0.030968,                   0,             0.91029,             0.87204,              0.9214,             0.53274,            0.026637,            0.010573,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.029975,            0.032056,                   0,             0.93131,             0.84743,             0.91958,             0.47952,            0.029676,            0.010882,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.029254,            0.029805,                   0,             0.86054,             0.81949,             0.89026,             0.47693,            0.028689,            0.011201,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.029302,            0.029937,                   0,             0.81203,             0.60156,              0.6701,             0.30203,             0.03994,            0.015453,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.028661,            0.031035,                   0,             0.80081,             0.66406,             0.72896,              0.3513,            0.037609,            0.013544,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.028766,            0.030841,                   0,             0.67116,             0.54688,              0.6049,             0.28779,             0.03852,            0.014578,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.028233,            0.028916,                   0,             0.56194,              0.4375,              0.4256,             0.21132,             0.04256,            0.016683,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.028598,            0.030691,                   0,             0.55519,             0.53633,             0.46499,             0.19077,            0.042278,            0.017239,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.027744,            0.030705,                   0,             0.65602,             0.63281,             0.63317,             0.30402,            0.034959,            0.014954,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.028356,            0.031807,                   0,             0.74216,             0.51562,             0.57037,              0.2529,            0.036239,             0.01623,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.027834,            0.029539,                   0,             0.78883,             0.70312,             0.76923,             0.38854,            0.031568,            0.012672,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.027572,              0.0308,                   0,             0.78178,             0.72656,             0.76895,             0.41515,            0.030989,            0.013417,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.028079,            0.029836,                   0,             0.80244,             0.71875,              0.7701,             0.38277,            0.032492,            0.013125,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.026513,             0.02704,                   0,             0.67473,             0.53125,             0.54949,             0.25584,            0.041926,            0.015372,                   0,             0.00736,             0.00736,             0.00736
                  82,             0.02897,            0.029725,                   0,              0.7527,             0.67188,             0.72169,             0.36376,            0.032407,            0.014521,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.027538,            0.029815,                   0,             0.88653,             0.85459,             0.91173,             0.50633,            0.028509,            0.010271,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.027507,            0.030779,                   0,             0.70335,             0.60938,             0.69665,             0.38872,            0.031352,            0.014426,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.027583,            0.029081,                   0,             0.64969,             0.60938,             0.68038,             0.36206,            0.032203,            0.014597,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.028536,            0.028966,                   0,             0.90798,             0.75781,             0.85468,              0.3907,            0.032499,            0.011924,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.027804,            0.028191,                   0,             0.86711,              0.8125,              0.9034,             0.48386,            0.027862,            0.011018,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.027526,            0.029659,                   0,             0.84356,             0.85156,             0.91086,             0.51705,            0.027801,            0.010654,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.027434,            0.029564,                   0,             0.90998,             0.78971,             0.90235,             0.50134,            0.025837,            0.011693,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.027148,            0.028125,                   0,             0.80652,             0.67969,             0.77345,             0.37156,            0.033752,            0.013006,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.026674,            0.029914,                   0,              0.9051,             0.76562,             0.87087,             0.48229,             0.02914,            0.011861,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.026385,            0.027886,                   0,              0.8283,             0.60303,             0.72495,             0.36544,            0.034326,            0.014989,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.027268,            0.026404,                   0,             0.90886,             0.85702,             0.91354,              0.4996,            0.029884,            0.012157,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.026525,            0.027533,                   0,             0.82191,             0.78125,             0.86102,              0.4897,            0.028496,            0.011975,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.026054,            0.029264,                   0,             0.71768,             0.75781,             0.76383,             0.33272,            0.033912,            0.013229,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.027437,            0.028435,                   0,             0.85012,             0.85938,             0.92565,              0.4419,            0.032303,             0.01118,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.026965,            0.029452,                   0,             0.88406,             0.89359,             0.93226,             0.55928,            0.025067,            0.010023,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.027228,            0.028442,                   0,             0.87665,             0.71875,             0.81892,             0.39844,            0.033834,            0.012611,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.026666,            0.027676,                   0,             0.93147,             0.84952,             0.94218,             0.59613,            0.025221,            0.009542,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.025452,             0.02788,                   0,             0.89038,             0.82498,             0.89115,              0.5283,            0.026927,            0.011585,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.025784,            0.028339,                   0,             0.82639,             0.78097,             0.86744,             0.40107,            0.032776,            0.012275,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.026184,             0.02698,                   0,             0.88967,             0.82031,             0.88296,             0.45755,             0.03359,            0.011126,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.026851,            0.029526,                   0,              0.6808,             0.57031,             0.60622,             0.30794,            0.034907,            0.014114,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.026585,            0.027257,                   0,             0.85397,             0.70312,             0.84075,             0.39957,            0.030189,             0.01232,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.025249,            0.027671,                   0,             0.88739,             0.85938,             0.93476,             0.54457,            0.025831,            0.010529,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.025103,            0.028158,                   0,              0.8981,             0.89519,             0.95061,             0.56666,            0.025597,             0.01014,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.024807,            0.027131,                   0,             0.90088,             0.85203,             0.91366,             0.49749,             0.02981,            0.010108,                   0,            0.006502,            0.006502,            0.006502
                 108,               0.026,            0.027915,                   0,             0.92644,             0.84375,             0.92751,             0.44792,            0.031121,            0.009558,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.026241,            0.027243,                   0,             0.79854,             0.58838,             0.69239,             0.34103,            0.034968,            0.014224,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.025012,             0.02734,                   0,             0.88537,              0.9051,             0.92772,             0.58182,            0.023959,            0.010301,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.025929,            0.029833,                   0,             0.93045,             0.83594,             0.91343,             0.53118,            0.025882,            0.011465,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.025322,            0.027142,                   0,             0.90849,             0.77558,              0.8897,             0.48333,            0.026728,            0.011038,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.025482,            0.028254,                   0,             0.73934,             0.67188,             0.73579,               0.363,            0.034584,            0.013837,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.026276,            0.026711,                   0,             0.81596,             0.85156,             0.88256,              0.4568,            0.029887,            0.010849,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.026497,             0.02699,                   0,             0.83637,             0.91845,             0.92094,             0.60081,            0.024401,            0.010129,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.025124,            0.027356,                   0,             0.91903,             0.86719,             0.94339,             0.58134,            0.025401,            0.010561,                   0,            0.006205,            0.006205,            0.006205
