               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12385,            0.035647,                   0,            0.041893,             0.10638,            0.033002,           0.0075647,             0.11635,            0.026569,                   0,              0.0006,              0.0006,              0.0946
                   1,             0.10297,            0.037282,                   0,            0.062678,                0.18,            0.051799,            0.011407,            0.083439,            0.024764,                   0,           0.0012957,           0.0012957,            0.088296
                   2,            0.083544,            0.039375,                   0,             0.26617,                0.22,             0.19703,            0.055945,             0.06357,            0.021115,                   0,           0.0019868,           0.0019868,            0.081987
                   3,            0.065737,             0.03549,                   0,             0.65157,                0.42,             0.43859,             0.17651,            0.059767,            0.018173,                   0,           0.0026733,           0.0026733,            0.075673
                   4,            0.060264,            0.033076,                   0,             0.69544,             0.41118,             0.54159,             0.23076,            0.042464,            0.020171,                   0,           0.0033551,           0.0033551,            0.069355
                   5,            0.056601,            0.029937,                   0,             0.59808,             0.38704,             0.49308,              0.1765,            0.049531,            0.017926,                   0,           0.0040324,           0.0040324,            0.063032
                   6,            0.055385,            0.024072,                   0,             0.69416,                0.66,             0.67112,             0.24759,              0.0444,            0.013408,                   0,            0.004705,            0.004705,            0.056705
                   7,            0.062526,            0.021894,                   0,             0.54715,                0.64,              0.6251,              0.2776,            0.063883,            0.010778,                   0,           0.0053729,           0.0053729,            0.050373
                   8,            0.057909,            0.023145,                   0,             0.39914,                0.44,              0.3417,             0.12343,            0.076606,            0.013185,                   0,           0.0060363,           0.0060363,            0.044036
                   9,            0.059793,            0.022556,                   0,             0.26052,                0.46,             0.25397,             0.07971,             0.06559,            0.013574,                   0,           0.0066951,           0.0066951,            0.037695
                  10,            0.052029,            0.021647,                   0,             0.22083,                 0.2,            0.089809,            0.026856,            0.067328,             0.01407,                   0,           0.0073492,           0.0073492,            0.031349
                  11,            0.052367,            0.019292,                   0,             0.26633,                 0.3,             0.18401,            0.058278,            0.066819,            0.018351,                   0,           0.0079987,           0.0079987,            0.024999
                  12,            0.051351,            0.021023,                   0,              0.2067,             0.38568,             0.15179,            0.048232,            0.066734,            0.014042,                   0,           0.0086436,           0.0086436,            0.018644
                  13,            0.045967,            0.019318,                   0,             0.21157,                0.26,              0.1069,            0.036383,             0.08206,            0.012931,                   0,           0.0092839,           0.0092839,            0.012284
                  14,            0.049568,              0.0204,                   0,             0.22594,                 0.2,            0.088354,            0.029677,            0.074372,             0.01532,                   0,            0.009538,            0.009538,            0.009538
                  15,            0.046785,            0.022074,                   0,             0.68726,             0.30786,             0.38806,             0.16246,            0.061868,             0.01434,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.040289,            0.018872,                   0,             0.49104,              0.5789,             0.44322,             0.20012,            0.056555,            0.011221,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.036369,            0.020287,                   0,             0.81199,                 0.6,             0.66614,             0.29366,            0.047248,            0.012245,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.035074,            0.018115,                   0,             0.74617,                 0.6,             0.66695,             0.31386,            0.045246,            0.010865,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.035294,            0.016806,                   0,             0.69313,                0.56,             0.60679,             0.29024,            0.044256,            0.012193,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.035026,             0.01604,                   0,             0.64929,                0.36,             0.48749,             0.20648,            0.055349,            0.015212,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.036143,            0.017594,                   0,             0.56156,                0.58,             0.52271,             0.26889,            0.048614,            0.012425,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.028848,            0.016827,                   0,             0.67863,                0.62,             0.64554,             0.30624,            0.038408,            0.011867,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.028868,            0.015359,                   0,             0.68485,                0.66,             0.66719,             0.36282,             0.03877,            0.012355,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.028332,            0.015063,                   0,             0.66739,                 0.6,             0.55696,             0.28874,            0.039311,             0.01333,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.028088,            0.014953,                   0,             0.60394,                0.66,             0.63319,             0.27133,            0.039755,            0.013433,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.032243,            0.016194,                   0,             0.89967,                0.64,             0.75895,               0.398,            0.047019,           0.0092571,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.030828,            0.016221,                   0,             0.85913,             0.73197,             0.77454,              0.5149,            0.036293,           0.0087816,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.026773,             0.01442,                   0,             0.92625,             0.75365,              0.7927,             0.49419,            0.043013,           0.0087087,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.026624,            0.015166,                   0,             0.96179,                0.74,             0.80072,             0.53624,             0.02748,           0.0096411,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.027338,            0.013929,                   0,             0.86874,              0.7943,             0.86005,             0.52724,            0.030781,           0.0091794,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.024967,            0.014304,                   0,             0.93465,              0.8582,             0.91299,             0.65494,            0.024205,           0.0076433,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.024417,            0.014364,                   0,             0.95171,             0.78845,             0.91087,             0.62159,             0.03402,            0.007251,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.024659,            0.013751,                   0,             0.95172,                0.96,             0.97805,             0.74023,            0.023757,           0.0057652,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.024381,            0.014466,                   0,             0.96055,             0.97397,             0.98296,             0.65494,            0.030002,           0.0062566,                   0,            0.008911,            0.008911,            0.008911
                  35,             0.02518,            0.013696,                   0,             0.97764,                0.96,             0.96292,             0.64631,             0.02564,           0.0060313,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.023558,            0.014841,                   0,             0.93406,                0.96,             0.96064,             0.66189,            0.028957,           0.0064752,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.022529,            0.013782,                   0,              0.9418,             0.97103,             0.96021,              0.7174,            0.022708,           0.0061067,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.027967,            0.014021,                   0,             0.93454,                0.92,             0.92143,             0.60963,            0.033796,           0.0066044,                   0,            0.008779,            0.008779,            0.008779
                  39,             0.02245,            0.014983,                   0,             0.93495,                0.92,             0.94458,             0.66104,            0.022774,           0.0066793,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.027094,            0.014131,                   0,             0.93552,                0.82,             0.93494,             0.59668,            0.029283,           0.0065494,                   0,            0.008713,            0.008713,            0.008713
                  41,             0.02326,             0.01272,                   0,             0.91162,                 0.9,             0.94597,             0.68349,            0.029471,           0.0062127,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.023201,            0.012286,                   0,             0.93922,                0.96,             0.95443,             0.66074,            0.030433,           0.0064413,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.022896,            0.012534,                   0,             0.95981,              0.9554,             0.95486,             0.71826,            0.020507,           0.0059527,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.021411,            0.012633,                   0,              0.9359,                0.96,             0.95433,             0.69149,            0.024579,           0.0060784,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.021018,            0.012952,                   0,             0.95803,                0.96,             0.95357,             0.71665,            0.021457,            0.006228,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.021371,            0.013471,                   0,             0.92015,                0.96,             0.94021,              0.6255,            0.026761,           0.0063534,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.021714,            0.012566,                   0,             0.92296,             0.95838,             0.92553,             0.68905,            0.021335,           0.0061172,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.022893,            0.012842,                   0,             0.93921,                0.94,             0.95364,              0.6131,            0.026214,           0.0063609,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.022695,            0.014528,                   0,             0.94523,                0.92,             0.96081,             0.72331,            0.021385,           0.0060574,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.020346,            0.012686,                   0,             0.95638,             0.87714,             0.93847,             0.62636,            0.025846,           0.0066897,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.019824,            0.013279,                   0,             0.80429,                0.78,             0.82935,             0.53017,            0.026197,           0.0082108,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.020793,            0.011968,                   0,             0.76278,                0.74,              0.7528,             0.42788,            0.032999,             0.01093,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.022518,            0.011827,                   0,             0.81476,                0.74,             0.79161,             0.47036,            0.026433,            0.011074,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.019985,            0.012174,                   0,             0.91105,              0.8194,             0.87281,             0.51612,            0.032155,           0.0093645,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.019601,            0.012742,                   0,               0.919,             0.90781,             0.94012,             0.67828,            0.023295,            0.006871,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.020647,            0.012396,                   0,             0.96723,                0.72,             0.85134,             0.58273,            0.027302,           0.0082659,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.020821,            0.011998,                   0,             0.95849,                0.96,             0.96148,              0.7204,            0.020814,           0.0055616,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.018357,            0.011387,                   0,             0.95805,                0.96,             0.96629,             0.73173,            0.020358,           0.0055484,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.019975,            0.012265,                   0,             0.93899,                0.96,             0.96514,             0.74469,            0.019915,           0.0054958,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.020726,            0.011365,                   0,             0.95689,                0.96,             0.97143,              0.7036,            0.022895,           0.0056689,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.020899,            0.011275,                   0,             0.93891,             0.92212,             0.96769,             0.70312,            0.021527,           0.0062843,                   0,             0.00802,             0.00802,             0.00802
                  62,             0.01842,            0.012622,                   0,             0.97944,             0.95308,             0.97072,             0.71595,            0.020915,           0.0054773,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.019055,            0.011408,                   0,              0.9599,             0.95744,             0.97304,             0.67847,            0.020492,             0.00567,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.020068,            0.013031,                   0,             0.90531,                 0.8,             0.86571,              0.5058,            0.024347,           0.0092407,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.018465,            0.012265,                   0,             0.76096,             0.63675,              0.7202,              0.4111,            0.026775,            0.012433,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.019068,            0.011695,                   0,             0.91148,                0.62,             0.76847,             0.49276,            0.024482,            0.012552,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.018639,            0.010303,                   0,             0.97806,             0.89176,             0.96221,             0.66516,             0.02238,           0.0064595,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.019588,            0.011937,                   0,             0.97988,             0.97429,             0.98175,             0.77003,            0.017419,           0.0055257,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.018755,            0.013024,                   0,             0.93322,             0.83846,              0.9155,             0.66149,            0.022753,           0.0083769,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.018205,            0.011949,                   0,             0.93038,                0.88,             0.93546,             0.72347,            0.021146,           0.0080016,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.017859,            0.011207,                   0,             0.97713,                0.94,             0.97057,             0.72889,            0.023169,           0.0061357,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.016336,            0.010614,                   0,              0.9407,             0.95192,              0.9547,             0.70284,            0.024189,            0.006668,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.017174,            0.011285,                   0,             0.95879,                0.94,             0.95583,             0.72476,            0.021266,           0.0059856,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.018712,            0.011139,                   0,             0.93903,                0.96,             0.95597,             0.71702,            0.021591,           0.0059012,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.017581,            0.011648,                   0,             0.93828,                0.96,             0.97335,             0.77449,            0.021188,           0.0053063,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.017202,            0.011147,                   0,              0.9594,             0.94531,             0.97181,             0.70524,            0.024345,           0.0061888,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.016917,             0.01077,                   0,             0.95977,                0.96,             0.97534,             0.75367,            0.020706,           0.0056282,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.018827,             0.01039,                   0,             0.93926,                0.96,             0.95567,             0.68639,            0.026032,           0.0060444,                   0,            0.007459,            0.007459,            0.007459
