               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.027387,            0.015099,                   0,             0.92375,                 0.8,             0.88548,             0.55662,            0.026583,            0.007901,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.022934,            0.014377,                   0,             0.90314,             0.93252,             0.95876,             0.67943,            0.020896,            0.005911,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.023324,            0.013041,                   0,             0.93068,             0.80569,             0.90128,             0.55047,            0.028859,           0.0092284,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.023761,            0.012752,                   0,             0.84629,             0.88091,             0.92795,             0.55968,            0.023272,            0.010463,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.024131,            0.013798,                   0,             0.90137,                0.92,             0.95668,             0.65223,            0.028673,            0.007567,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.024921,            0.014208,                   0,             0.89823,                0.96,             0.95781,             0.70131,            0.019176,           0.0077875,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.023696,            0.014018,                   0,             0.88037,             0.88314,             0.93474,             0.66823,            0.024587,            0.006775,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.020255,             0.01409,                   0,             0.91934,                0.92,             0.96086,             0.71511,            0.021536,           0.0061762,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.020135,            0.012513,                   0,             0.92994,                0.86,             0.94775,             0.65207,            0.026348,            0.007086,                   0,            0.008482,            0.008482,            0.008482
                  48,             0.02365,            0.014016,                   0,              0.9502,             0.76328,             0.86397,             0.61953,            0.020909,            0.010689,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.023894,            0.013608,                   0,             0.92028,                 0.9,              0.9458,             0.66275,            0.024444,           0.0096434,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.021586,            0.013392,                   0,             0.95767,               0.905,             0.95513,             0.64401,             0.02099,           0.0085035,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.023523,            0.013931,                   0,             0.58721,             0.59752,             0.61851,             0.29151,            0.037453,            0.014481,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.020646,            0.012966,                   0,             0.97863,                0.98,             0.97659,              0.7281,            0.021393,           0.0053112,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.021673,            0.012563,                   0,              0.9356,                 0.9,             0.94355,             0.64448,            0.020635,            0.010313,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.020545,            0.011476,                   0,              0.7525,                 0.7,             0.75819,             0.46754,            0.023607,            0.014405,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.020551,            0.013979,                   0,             0.97855,             0.91271,             0.96852,               0.735,            0.019479,           0.0067054,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.022731,             0.01262,                   0,             0.95793,                0.98,             0.97541,             0.70246,            0.022232,           0.0050392,                   0,            0.008185,            0.008185,            0.008185
